Text,LLM_Prediction
I hate people with really shit taste in music! Seriously shut up!! ,disgust
Despite me liking her appearances on the GREAT INDIAN COMEDY SHOW always... despite that. PURBI JOSHI - DAMADAMM  ,disgust
"This year I don't intend to drive in the snow, and ESPECIALLY not on the motorway. RESPECT mother nature ",shame
 Certainly ! ,joy
"OFFA release details of new Access Agreements - Lots of new fee waivers (£37m)... great for Treasury, not so great for students ",shame
"sometime I don't even have to talk to my kids, I give them certain looks and they know exactly what to do..... ",fear
" No , don't , I don't want to see you anymore . Don't ever call me again . ",shame
You know ... I did very poorly on that test . ,shame
 OK . Bye ! ,joy
Guess I forgot to check the weather for today...I had no idea it was supposed to snow #wherearemyuggs,surprise
 What for ? ,shame
 You bet it . ,shame
@DetroitLionsNFL Horrible PI call...again.  Why do the Lions even show up? Refs already decided what will happen. ,surprise
"Right peeps i'm off, got my sister's ice skating show to go to ",shame
" Sorry , I don ’ t know the rule about punching . ",anger
"Riot police were needed to quell pitch invasions. -- More than 200,000 ecstatic Leeds United fans took part in a carnival-style street party yesterday as their team paraded the League Championship trophy . ",fear
When I got engaged to a boy of my choice.,fear
"Despite a few exggerations, there was something very smooth about it-black humour and crazy sub-plots. MY FRIEND PINTO  ",disgust
Determinedly she put her worries and the root cause of her despondency behind her and tried to think more cheerfully . ,fear
Slice of life. Azumanga Daioh a good relax tool for busy and stressful days. ,joy
"There must be another reason why you are so sad , "" he said , looking kindly at me . ",sadness
"I was on my way back from the Inter Rail, on board the ferry from Stockholm when my father called me at 7 o'clock to tell me that my uncle had died and that I would be seeing him off on his final journey within four days.",sadness
"Henry Tyler would not have described her as a happy woman , but afterward he could not say that she had seemed at all unwell . ",sadness
Totally just woke up and thought it was Christmas morning.  ,surprise
 It's nice of you to say so . ,shame
@seturego2thside You left?? Are you gonna be back around Christmas cause I may have a birthday party,joy
" There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . ",surprise
"I've a situation of responsibility an employee who had a habit of being late, came late again after promising to say he would be at work in a few minutes, then arrived 3 hours later. He had been drinking.",surprise
Dear God make the person Who's On my mind Die (Ameen) ,joy
"I found a idea which'd require me to draw 24 different pictures in the next few days. :D Oh boy, that'll be fun.  ",joy
The thought of waking up to go to work tomorrow makes me feel SICK ,anger
 Have you ever been to America ? ,fear
Silver lining today though I am working was a yummy dinner followed by ice-cream at Lakeview ,joy
is it bad that i check twitter on a seconds basis? you just never know what people have to say #whatshespregnant?!?!?,shame
I found a problem in homework which would not get solved although I tried my best.,sadness
computer magically broke getting readyyy,sadness
I'm so afraid of viruses now. why did he have to watch this video?! ,fear
Love is the highest vibration in the Universe. It sends shivers of up my spine! #Quote for #love #peace and #joy,joy
So the company decided to cancel your trip to Hong Kong ? ,sadness
Trois jeunes engagés politiquement à gauche pour le  Globalement d'accord sur les questions économiques. ,neutral
It feels good to be back @ school. ,sadness
This sweet lady at the market complimented me on my outfit and said you're so cute you probably have a g/f.  ,surprise
"You know that scary realization you are not going to make it until your next paycheck? Yeah, that. Payday is a painful 13 days away. ",sadness
"Bathsheba was watching his expression closely , and she had never been more miserable . ",sadness
 you break into @ashtoncaldwell2's house when she's out of town to get your birthday cake &amp; she doesn't know. ,joy
had the same headache for three days straight ,anger
"k im really not up for any homework, i really dont want to do it during my spare... this is when i start to have a debate with myself! ",anger
Today I wrote a &quot;to-do&quot; list .....and the ooonly thing that gone done...was the actual writing of the to do list!  ,surprise
"When you learn that your computer is broken until March, you are going to be depressed.   ",sadness
@StevenLazar0ff ew I hate chapel hill mall. ,disgust
 here we go . ,surprise
@TheBodyShopUK The fact I get to spend another Christmas with my 90yr old Nana brings me :),joy
"When things go well, we're elated...When hardships come, we're depressed... for true that transcends the wave of circumstance!",joy
"McColgan , slumped in deep dejection , said afterwards : ` It was just a bad race on my part . ",sadness
@C_evon Yeah yeah lol. &amp;&amp; You won't know what you &quot;left&quot; unless you come get it ,neutral
Just shit my pants. Pure gravy 100% ,disgust
Where there is there is #creation. Where there is no joy there is no creation. Know the nature of joy.,joy
My cell phone has low battery I don't know where my charger is ,neutral
 is finally done and dusted so I can concentrate my my xmas card design. First I sleep.,joy
"i already got all my christmas presents, so i have nothing to open... ",surprise
The only song I can really really like of his RT @CBake_OneSeven: Drake be writing that real ,sadness
When my uncle died whom I had loved very much. I was very sad and I felt totally helpless.,sadness
I would give anything for a nap. Its one of those 6am-9pm days. ,disgust
"@TheBodyShopUK A relaxing, hot bubble bath complete with pamper session brings me ",joy
I love a good surprise in the morning!! ,surprise
"He was on his feet , the chair toppling over behind him , his face livid , his knuckles white-ridged and aimed at her . ",anger
That if ever I was really naughty I would be sent away from my Mum and Dad to another family. I was fostered from age 5 and didn't get to Mum and Dad until I was 6 and then legally adopted at 14.,shame
Facebook me.I hate how whatever u say or do there u get judged by ppl who r suppose to be ur &quot;Friends&quot; thats y I stick with Twitter,sadness
I thought him a good friend but he tried to lie to me several times. Last time was the height of impudence. He promised he would come home but he didn't. I felt a sense of anger and insult.,anger
Sitting next to a room full of personal growth and laughter... ,joy
At home  with 10 year olds who have had too much mountain dew.. ,sadness
 We got lost coming back . I guess I don't really know this town yet . ,sadness
I'm not even sure the words to express how I feel about the  game... Like I'm speechless #lordhelpme,sadness
"A heartbroken Daniels watched this all going on , and was moved to break the golden rule of not speaking until spoken to . ",sadness
Wishes @zorgill23 was here to watch friends with me! Late night rerun tradition. ,joy
Going to bed..(: getting Christmas pictures made tomorrow. ,sadness
nog stukje van gedicht maken nog steeds hahaha ,fear
Ando out with a Knee Injury till Feb. :/ #mufc,sadness
"Mind-blowing information is coming to you mind-blowingly soon.... that's right, our NOLA New Years details are coming TONIGHT! ",surprise
4 hour car ride ,joy
E domani parodia di Breaking Dawn. Grazie degli spoiler Gu. ,fear
"@jas_faz I'm doing my usual bit of stalking.. Road works just woke me up, and its quite sunny in bodmin whatsapp me please babe",surprise
Wearing my new Maroon Out shirt (Thank you Mom &amp; Dad! What an awesome surprise!) Eating chili. Visiting w/ my parents while they cook. ,surprise
Klaar wachten op mama dan naar school bij me &quot;,fear
"With Summer, Katie, and Bonnie. My life and Bonnie's life sucks. Haha.. We are laying in our sad spots. ",sadness
"At first Anne felt indignant with Joe , but when she thought it over , realised the good sense of his warning . ",anger
"The anguished princess , says Morton , told one friend : ` If this is the price of public life then it is a price I am no longer willing to pay . "" ",sadness
I was given an exam which I thought did not measure at all my ability or my knowledge of the subject.,shame
